nanobody,antigen,seed,binding_energy,success
nbNAT_8zoy,lysozyme,5,-10.1,True
nbNAT_8zoy,lysozyme,6,-9.8,True
nbNAT_8zoy,lysozyme,7,0.3,True
nbNAT_8zoy,lysozyme,8,-0.4,True
nbNAT_8zoy,lysozyme,9,-0.0,True
nbNAT_8zoy,nat,1,-10.9,True
nbNAT_8zoy,nat,2,-8.4,True
nbNAT_8zoy,nat,3,-0.1,True
nbNAT_8zoy,nat,5,-0.0,True
nbNAT_8zoy,nat,6,-20.6,True
nbNAT_8zoy,nat,7,-22.3,True
nbNAT_8zoy,nat,10,-9.8,True
nbNAT_8zoy,nat,11,-1.8,True
nbNAT_8zoy,nat,12,-0.0,True
nbNAT_8zoy,nat,13,-3.5,True
nbSARS_7f5h,gfp,0,-0.0,True
nbSARS_7f5h,gfp,1,-10.9,True
nbSARS_7f5h,gfp,2,-1.5,True
nbSARS_7f5h,gfp,3,-7.9,True
nbSARS_7f5h,gfp,5,-0.0,True
nbSARS_7f5h,gfp,6,-4.9,True
nbSARS_7f5h,gfp,7,-1.0,True
nbSARS_7f5h,gfp,9,1.1,True
nbSARS_7f5h,gfp,10,-0.0,True
nbSARS_7f5h,gfp,11,-0.0,True
nbSARS_7f5h,sars_cov2_rbc,1,-7.7,True
nbSARS_7f5h,sars_cov2_rbc,3,-0.0,True
nbSARS_7f5h,sars_cov2_rbc,4,-6.2,True
nbSARS_7f5h,sars_cov2_rbc,5,0.0,True
nbSARS_7f5h,sars_cov2_rbc,6,-6.2,True
nbSARS_7f5h,sars_cov2_rbc,7,-7.1,True
nbSARS_7f5h,sars_cov2_rbc,8,-17.8,True
nbSARS_7f5h,sars_cov2_rbc,9,-0.0,True
nbSARS_7f5h,sars_cov2_rbc,10,-3.7,True
nbSARS_7f5h,sars_cov2_rbc,11,-5.4,True
nbSARS_7f5h,mcherry,0,-0.0,True
nbSARS_7f5h,mcherry,1,-5.2,True
nbSARS_7f5h,mcherry,2,-0.0,True
nbSARS_7f5h,mcherry,3,-15.3,True
nbSARS_7f5h,mcherry,4,-0.0,True
nbSARS_7f5h,mcherry,6,-0.0,True
nbSARS_7f5h,mcherry,10,-10.4,True
nbSARS_7f5h,mcherry,11,-6.2,True
nbSARS_7f5h,mcherry,13,-0.5,True
nbSARS_7f5h,mcherry,15,-0.0,True
nbSARS_7f5h,albumin,0,-0.0,True
nbSARS_7f5h,albumin,3,-4.6,True
nbSARS_7f5h,albumin,5,-0.2,True
nbSARS_7f5h,albumin,8,-0.0,True
nbSARS_7f5h,albumin,9,-0.1,True
nbSARS_7f5h,albumin,10,-8.4,True
nbSARS_7f5h,albumin,12,-15.5,True
nbSARS_7f5h,albumin,13,-5.0,True
nbSARS_7f5h,albumin,15,-0.5,True
nbSARS_7f5h,albumin,17,-0.0,True
nbSARS_7f5h,lysozyme,0,-0.0,True
nbSARS_7f5h,lysozyme,1,-0.0,True
nbSARS_7f5h,lysozyme,2,-0.0,True
nbSARS_7f5h,lysozyme,4,-0.0,True
nbSARS_7f5h,lysozyme,5,-1.6,True
nbSARS_7f5h,lysozyme,6,-7.9,True
nbSARS_7f5h,lysozyme,7,-8.1,True
nbSARS_7f5h,lysozyme,8,-1.6,True
nbSARS_7f5h,lysozyme,10,-10.7,True
nbSARS_7f5h,lysozyme,11,-1.8,True
nbSARS_7f5h,nat,0,-0.0,True
nbSARS_7f5h,nat,1,-10.3,True
nbSARS_7f5h,nat,2,-0.0,True
nbSARS_7f5h,nat,3,-2.7,True
nbSARS_7f5h,nat,4,-5.8,True
nbSARS_7f5h,nat,5,0.3,True
nbSARS_7f5h,nat,6,-18.1,True
nbSARS_7f5h,nat,8,-11.6,True
nbSARS_7f5h,nat,9,-1.1,True
nbSARS_7f5h,nat,10,-0.0,True
nbGFP_6xzf,gfp,0,-2.9,True
nbGFP_6xzf,gfp,2,-7.1,True
nbGFP_6xzf,gfp,3,-0.0,True
nbGFP_6xzf,gfp,4,-5.8,True
nbGFP_6xzf,gfp,5,-0.0,True
nbGFP_6xzf,gfp,6,-3.1,True
nbGFP_6xzf,gfp,7,-1.3,True
nbGFP_6xzf,gfp,8,-7.6,True
nbGFP_6xzf,gfp,9,-5.3,True
nbGFP_6xzf,gfp,11,-0.0,True
nbGFP_6xzf,sars_cov2_rbc,0,-2.5,True
nbGFP_6xzf,sars_cov2_rbc,3,-0.0,True
nbGFP_6xzf,sars_cov2_rbc,4,-1.8,True
nbGFP_6xzf,sars_cov2_rbc,5,-15.6,True
nbGFP_6xzf,sars_cov2_rbc,6,-11.3,True
nbGFP_6xzf,sars_cov2_rbc,7,-8.7,True
nbGFP_6xzf,sars_cov2_rbc,8,-8.7,True
nbGFP_6xzf,sars_cov2_rbc,9,-0.0,True
nbGFP_6xzf,sars_cov2_rbc,11,-5.4,True
nbGFP_6xzf,sars_cov2_rbc,12,-5.6,True
nbGFP_6xzf,mcherry,0,-4.6,True
nbGFP_6xzf,mcherry,1,-9.7,True
nbGFP_6xzf,mcherry,2,-0.0,True
nbGFP_6xzf,mcherry,3,-9.3,True
nbGFP_6xzf,mcherry,4,-0.0,True
nbGFP_6xzf,mcherry,5,-1.6,True
nbGFP_6xzf,mcherry,6,0.1,True
nbGFP_6xzf,mcherry,7,-3.7,True
nbGFP_6xzf,mcherry,8,-0.0,True
nbGFP_6xzf,mcherry,9,-5.4,True
nbGFP_6xzf,albumin,0,-0.1,True
nbGFP_6xzf,albumin,1,-0.1,True
nbGFP_6xzf,albumin,2,-5.9,True
nbGFP_6xzf,albumin,3,-16.5,True
nbGFP_6xzf,albumin,4,-12.2,True
nbGFP_6xzf,albumin,5,-6.4,True
nbGFP_6xzf,albumin,7,-0.0,True
nbGFP_6xzf,albumin,9,-0.0,True
nbGFP_6xzf,albumin,10,-0.4,True
nbGFP_6xzf,albumin,13,-14.1,True
nbGFP_6xzf,lysozyme,1,-0.0,True
nbGFP_6xzf,lysozyme,2,-11.7,True
nbGFP_6xzf,lysozyme,4,-3.8,True
nbGFP_6xzf,lysozyme,5,-1.3,True
nbGFP_6xzf,lysozyme,6,-10.3,True
nbGFP_6xzf,lysozyme,7,-0.0,True
nbGFP_6xzf,lysozyme,8,-0.0,True
nbGFP_6xzf,lysozyme,9,-6.8,True
nbGFP_6xzf,lysozyme,10,-2.8,True
nbGFP_6xzf,lysozyme,11,-0.0,True
nbGFP_6xzf,nat,1,-6.3,True
nbGFP_6xzf,nat,2,-12.8,True
nbGFP_6xzf,nat,3,-0.0,True
nbGFP_6xzf,nat,4,-0.0,True
nbGFP_6xzf,nat,6,-7.9,True
nbGFP_6xzf,nat,7,-8.3,True
nbGFP_6xzf,nat,8,-8.9,True
nbGFP_6xzf,nat,9,-16.2,True
nbGFP_6xzf,nat,10,0.5,True
nbGFP_6xzf,nat,11,-0.0,True
nblys_1mel,gfp,1,-2.9,True
nblys_1mel,gfp,2,-16.7,True
nblys_1mel,gfp,3,-9.3,True
nblys_1mel,gfp,4,-0.0,True
nblys_1mel,gfp,5,-0.0,True
nblys_1mel,gfp,6,-0.0,True
nblys_1mel,gfp,8,-5.8,True
nblys_1mel,gfp,9,-0.0,True
nblys_1mel,gfp,11,-8.9,True
nblys_1mel,gfp,12,-0.0,True
nblys_1mel,sars_cov2_rbc,2,-0.0,True
nblys_1mel,sars_cov2_rbc,4,-0.0,True
nblys_1mel,sars_cov2_rbc,5,-5.6,True
nblys_1mel,sars_cov2_rbc,9,-0.0,True
nblys_1mel,sars_cov2_rbc,10,-7.8,True
nblys_1mel,sars_cov2_rbc,12,-3.7,True
nblys_1mel,sars_cov2_rbc,13,-12.7,True
nblys_1mel,sars_cov2_rbc,14,-0.0,True
nblys_1mel,sars_cov2_rbc,16,-0.0,True
nblys_1mel,sars_cov2_rbc,17,-13.4,True
nblys_1mel,mcherry,0,-3.1,True
nblys_1mel,mcherry,1,-10.2,True
nblys_1mel,mcherry,2,-2.8,True
nblys_1mel,mcherry,3,-0.0,True
nblys_1mel,mcherry,4,-4.7,True
nblys_1mel,mcherry,5,-11.8,True
nblys_1mel,mcherry,6,-0.0,True
nblys_1mel,mcherry,7,-0.0,True
nblys_1mel,mcherry,8,-1.1,True
nblys_1mel,mcherry,9,-2.6,True
nblys_1mel,albumin,0,-0.0,True
nblys_1mel,albumin,1,-2.9,True
nblys_1mel,albumin,6,-0.0,True
nblys_1mel,albumin,7,-7.4,True
nblys_1mel,albumin,10,-16.6,True
nblys_1mel,albumin,12,-9.9,True
nblys_1mel,albumin,13,-0.0,True
nblys_1mel,albumin,14,-0.0,True
nblys_1mel,albumin,15,-0.0,True
nblys_1mel,albumin,16,-7.2,True
nblys_1mel,lysozyme,0,-5.6,True
nblys_1mel,lysozyme,1,-0.0,True
nblys_1mel,lysozyme,2,-4.2,True
nblys_1mel,lysozyme,3,-1.3,True
nblys_1mel,lysozyme,4,-7.7,True
nblys_1mel,lysozyme,6,-0.0,True
nblys_1mel,lysozyme,8,-19.9,True
nblys_1mel,lysozyme,9,-0.6,True
nblys_1mel,lysozyme,10,-0.4,True
nblys_1mel,lysozyme,11,-0.0,True
nblys_1mel,nat,0,-0.0,True
nblys_1mel,nat,1,-8.3,True
nblys_1mel,nat,2,-8.8,True
nblys_1mel,nat,3,-3.3,True
nblys_1mel,nat,5,-7.4,True
nblys_1mel,nat,6,-0.9,True
nblys_1mel,nat,11,-5.1,True
nblys_1mel,nat,12,-1.5,True
nblys_1mel,nat,13,-0.0,True
nblys_1mel,nat,14,-0.0,True
